,time,comp_angle,gyro_angle,accel_angle,control,frequency
266,1622659205.88504,0,0,0,-50.0,181
267,1622659205.890505,0,0,0,-50.0,180
268,1622659205.895986,0,0,0,-50.0,183
269,1622659205.9017715,0,0,0,-50.0,182
270,1622659205.9072747,0,0,0,-50.0,172
271,1622659205.9128711,0,0,0,-50.0,182
272,1622659205.9185321,0,0,0,-50.0,178
273,1622659205.9242682,0,0,0,-50.0,176
274,1622659205.9297945,0,0,0,-50.0,174
275,1622659205.9353044,0,0,0,-50.0,181
276,1622659205.940804,0,0,0,-50.0,181
277,1622659205.9463336,0,0,0,-50.0,179
278,1622659205.951819,0,0,0,-50.0,182
279,1622659205.9573233,0,0,0,-50.0,182
280,1622659205.9627798,0,0,0,-50.0,181
281,1622659205.9682412,0,0,0,-50.0,183
282,1622659205.973771,0,0,0,-50.0,183
283,1622659205.979242,0,0,0,-50.0,180
284,1622659205.9848535,0,0,0,-50.0,181
285,1622659205.9903767,0,0,0,-50.0,179
286,1622659205.9958165,0,0,0,-50.0,181
287,1622659206.0012994,0,0,0,-50.0,183
288,1622659206.0068543,0,0,0,-50.0,182
289,1622659206.0124586,0,0,0,-50.0,179
290,1622659206.0179517,0,0,0,-50.0,178
291,1622659206.0234437,0,0,0,-50.0,182
292,1622659206.029,0,0,0,-50.0,181
293,1622659206.034548,0,0,0,-50.0,180
294,1622659206.0400708,0,0,0,-50.0,180
295,1622659206.0456693,0,0,0,-50.0,181
296,1622659206.051288,0,0,0,-50.0,178
297,1622659206.0568655,0,0,0,-50.0,177
298,1622659206.062436,0,0,0,-50.0,179
299,1622659206.068025,0,0,0,-50.0,179
300,1622659206.0767395,0,0,0,-50.0,168
301,1622659206.0826395,0,0,0,-50.0,119
302,1622659206.088216,0,0,0,-50.0,169
303,1622659206.0937526,0,0,0,-50.0,179
304,1622659206.0991995,0,0,0,-50.0,180
305,1622659206.1046524,0,0,0,-50.0,183
306,1622659206.1102157,0,0,0,-50.0,183
307,1622659206.1157348,0,0,0,-50.0,179
308,1622659206.1213145,0,0,0,-50.0,181
309,1622659206.127,0,0,0,-50.0,177
310,1622659206.1325972,0,0,0,-50.0,177
311,1622659206.138173,0,0,0,-50.0,178
312,1622659206.1436534,0,0,0,-50.0,179
313,1622659206.1491325,0,0,0,-50.0,182
314,1622659206.1546698,0,0,0,-50.0,182
315,1622659206.1601725,0,0,0,-50.0,180
316,1622659206.165775,0,0,0,-50.0,181
317,1622659206.171445,0,0,0,-50.0,176
318,1622659206.177056,0,0,0,-50.0,178
319,1622659206.1826622,0,0,0,-50.0,178
320,1622659206.1881742,0,0,0,-50.0,178
321,1622659206.1937025,0,0,0,-50.0,181
322,1622659206.199167,0,0,0,-50.0,180
323,1622659206.20469,0,0,0,-50.0,183
324,1622659206.2102246,0,0,0,-50.0,181
325,1622659206.2159436,0,0,0,-50.0,178
326,1622659206.2215402,0,0,0,-50.0,176
327,1622659206.2271526,0,0,0,-50.0,178
328,1622659206.2326572,0,0,0,-50.0,178
329,1622659206.238192,0,0,0,-50.0,181
330,1622659206.2437084,0,0,0,-50.0,180
331,1622659206.2493052,0,0,0,-50.0,181
332,1622659206.2549868,0,0,0,-50.0,176
333,1622659206.2605846,0,0,0,-50.0,178
334,1622659206.2662134,0,0,0,-50.0,178
335,1622659206.271719,0,0,0,-50.0,177
336,1622659206.277222,0,0,0,-50.0,181
337,1622659206.2827199,0,0,0,-50.0,181
338,1622659206.302969,0,0,0,-50.0,135
339,1622659206.3098814,0,0,0,-50.0,54
340,1622659206.342334,0,0,0,-50.0,29
341,1622659206.3479047,0,0,0,-50.0,176
342,1622659206.3534455,0,0,0,-50.0,179
343,1622659206.358987,0,0,0,-50.0,180
344,1622659206.3645287,0,0,0,-50.0,180
345,1622659206.3700173,0,0,0,-50.0,180
346,1622659206.3755918,0,0,0,-50.0,182
347,1622659206.3807757,0,0,0,-50.0,177
348,1622659206.385845,0,0,0,-50.0,194
349,1622659206.3909419,0,0,0,-50.0,197
350,1622659206.3960066,0,0,0,-50.0,196
351,1622659206.4011269,0,0,0,-50.0,197
352,1622659206.4061809,0,0,0,-50.0,195
353,1622659206.411289,0,0,0,-50.0,197
354,1622659206.4165606,0,0,0,-50.0,195
355,1622659206.424152,0,0,0,-50.0,189
356,1622659206.4305441,0,0,0,-50.0,131
357,1622659206.4356668,0,0,0,-50.0,156
358,1622659206.4407215,0,0,0,-50.0,196
359,1622659206.4458048,0,0,0,-50.0,197
360,1622659206.4508724,0,0,0,-50.0,196
361,1622659206.455943,0,0,0,-50.0,196
362,1622659206.4610012,0,0,0,-50.0,198
363,1622659206.466071,0,0,0,-50.0,197
364,1622659206.4711604,0,0,0,-50.0,197
365,1622659206.476228,0,0,0,-50.0,196
366,1622659206.4816837,0,0,0,-50.0,197
367,1622659206.4872205,0,0,0,-50.0,183
368,1622659206.4927332,0,0,0,-50.0,180
369,1622659206.4983182,0,0,0,-50.0,181
370,1622659206.5039492,0,0,0,-50.0,177
371,1622659206.509494,0,0,0,-50.0,179
372,1622659206.5150542,0,0,0,-50.0,180
373,1622659206.5206048,0,0,0,-50.0,179
374,1622659206.526169,0,0,0,-50.0,180
375,1622659206.5317183,0,0,0,-50.0,179
376,1622659206.5372863,0,0,0,-50.0,180
377,1622659206.5428498,0,0,0,-50.0,179
378,1622659206.5483923,0,0,0,-50.0,179
379,1622659206.5539834,0,0,0,-50.0,180
380,1622659206.5594819,0,0,0,-50.0,178
381,1622659206.5649884,0,0,0,-50.0,181
382,1622659206.570488,0,0,0,-50.0,181
383,1622659206.5760386,0,0,0,-50.0,181
384,1622659206.5816667,0,0,0,-50.0,180
385,1622659206.5872316,0,0,0,-50.0,177
386,1622659206.5927455,0,0,0,-50.0,179
387,1622659206.5982494,0,0,0,-50.0,181
388,1622659206.603751,0,0,0,-50.0,181
389,1622659206.6092541,0,0,0,-50.0,181
